,FPR_lset-cora-GCN,TPR_lset-cora-GCN,FPR_strong-lset-cora-GCN,TPR_strong-lset-cora-GCN,FPR_strong-graph-lset-cora-GCN,TPR_strong-graph-lset-cora-GCN
10,,,,,0.02,0.32
11,,,,,0.024,0.32
12,,,,,0.024,0.324
13,,,,,0.032,0.324
14,,,,,0.032,0.34
15,,,,,0.036,0.34
16,,,,,0.036,0.348
17,,,,,0.044,0.348
18,,,,,0.044,0.352
19,,,,,0.048,0.352
20,,,,,0.048,0.364
21,,,,,0.052,0.364
22,,,,,0.052,0.38
23,,,,,0.056,0.38
24,,,,,0.056,0.384
25,,,,,0.06,0.384
26,,,,,0.06,0.404
27,,,,,0.064,0.404
28,,,,,0.064,0.42
29,,,,,0.072,0.42
30,,,,,0.072,0.428
31,,,,,0.076,0.428
32,,,,,0.076,0.44
33,,,,,0.08,0.44
34,,,,,0.08,0.448
35,,,,,0.084,0.448
36,,,,,0.084,0.452
37,,,,,0.092,0.452
38,,,,,0.092,0.46
39,,,,,0.096,0.46
40,,,,,0.096,0.48
41,,,,,0.108,0.48
42,,,,,0.108,0.492
43,,,,,0.112,0.492
44,,,,,0.112,0.5
45,,,,,0.116,0.5
46,,,,,0.116,0.508
47,,,,,0.12,0.508
48,,,,,0.12,0.512
49,,,,,0.124,0.512
50,,,,,0.124,0.528
51,,,,,0.128,0.528
52,,,,,0.128,0.532
53,,,,,0.132,0.532
54,,,,,0.132,0.556
55,,,,,0.14,0.556
56,,,,,0.14,0.56
57,,,,,0.144,0.56
58,,,,,0.144,0.58
59,,,,,0.148,0.58
60,,,,,0.148,0.6
61,,,,,0.152,0.6
62,,,,,0.152,0.608
63,,,,,0.16,0.608
64,,,,,0.16,0.62
65,,,,,0.164,0.62
66,,,,,0.164,0.64
67,,,,,0.18,0.64
68,,,,,0.18,0.644
69,,,,,0.184,0.644
70,,,,,0.184,0.648
71,,,,,0.2,0.648
72,,,,,0.2,0.652
73,,,,,0.208,0.652
74,,,,,0.208,0.66
75,,,,,0.216,0.66
76,,,,,0.216,0.668
77,,,,,0.224,0.668
78,,,,,0.224,0.672
79,,,,,0.228,0.672
80,,,,,0.228,0.676
81,,,,,0.236,0.676
82,,,,,0.236,0.688
83,,,,,0.24,0.688
84,,,,,0.24,0.692
85,,,,,0.252,0.692
86,,,,,0.252,0.696
87,,,,,0.26,0.696
88,,,,,0.26,0.7
89,,,,,0.264,0.7
90,,,,,0.264,0.708
91,,,,,0.268,0.708
92,,,,,0.268,0.712
93,,,,,0.272,0.712
94,,,,,0.272,0.724
95,,,,,0.288,0.724
96,,,,,0.288,0.732
97,,,,,0.292,0.732
98,,,,,0.292,0.74
99,,,,,0.312,0.74
100,,,,,0.312,0.752
101,,,,,0.32,0.752
102,,,,,0.32,0.764
103,,,,,0.324,0.764
104,,,,,0.324,0.768
105,,,,,0.336,0.768
106,,,,,0.336,0.776
107,,,,,0.34,0.776
108,,,,,0.34,0.788
109,,,,,0.348,0.788
110,,,,,0.348,0.792
111,,,,,0.36,0.792
112,,,,,0.36,0.796
113,,,,,0.368,0.796
114,,,,,0.368,0.804
115,,,,,0.376,0.804
116,,,,,0.376,0.828
117,,,,,0.396,0.828
118,,,,,0.396,0.832
119,,,,,0.408,0.832
120,,,,,0.408,0.836
121,,,,,0.412,0.836
122,,,,,0.412,0.868
123,,,,,0.42,0.868
124,,,,,0.42,0.872
125,,,,,0.424,0.872
126,,,,,0.424,0.876
127,,,,,0.436,0.876
128,,,,,0.436,0.88
129,,,,,0.496,0.88
130,,,,,0.496,0.884
131,,,,,0.508,0.884
132,,,,,0.508,0.888
133,,,,,0.528,0.888
134,,,,,0.528,0.892
135,,,,,0.532,0.892
136,,,,,0.532,0.896
137,,,,,0.54,0.896
138,,,,,0.54,0.9
139,,,,,0.564,0.9
140,,,,,0.564,0.904
141,,,,,0.568,0.904
142,,,,,0.568,0.908
143,,,,,0.572,0.908
144,,,,,0.572,0.912
145,,,,,0.576,0.912
146,,,,,0.576,0.916
147,,,,,0.584,0.916
148,,,,,0.584,0.92
149,,,,,0.608,0.92
150,,,,,0.608,0.924
151,,,,,0.62,0.924
152,,,,,0.62,0.928
153,,,,,0.684,0.928
154,,,,,0.684,0.932
155,,,,,0.716,0.932
156,,,,,0.716,0.94
157,,,,,0.744,0.94
158,,,,,0.744,0.944
159,,,,,0.764,0.944
160,,,,,0.764,0.948
161,,,,,0.776,0.948
162,,,,,0.776,0.952
163,,,,,0.792,0.952
164,,,,,0.792,0.96
165,,,,,0.812,0.96
166,,,,,0.812,0.964
167,,,,,0.84,0.964
168,,,,,0.84,0.968
169,,,,,0.848,0.968
170,,,,,0.848,0.976
171,,,,,0.876,0.976
172,,,,,0.876,0.984
173,,,,,0.888,0.984
174,,,,,0.888,0.988
175,,,,,0.9,0.988
176,,,,,0.9,0.992
177,,,,,0.916,0.992
178,,,,,0.916,0.996
179,,,,,0.952,0.996
180,,,,,0.952,1.0
181,,,,,1.0,1.0
