,FPR_0_flickr-GCN_lset,TPR_0_flickr-GCN_lset,FPR_1_flickr-GCN_lset,TPR_1_flickr-GCN_lset,FPR_2_flickr-GCN_lset,TPR_2_flickr-GCN_lset,FPR_3_flickr-GCN_lset,TPR_3_flickr-GCN_lset,FPR_4_flickr-GCN_lset,TPR_4_flickr-GCN_lset,FPR_0_flickr-GCN_lira,TPR_0_flickr-GCN_lira,FPR_1_flickr-GCN_lira,TPR_1_flickr-GCN_lira,FPR_2_flickr-GCN_lira,TPR_2_flickr-GCN_lira,FPR_3_flickr-GCN_lira,TPR_3_flickr-GCN_lira,FPR_4_flickr-GCN_lira,TPR_4_flickr-GCN_lira,FPR_0_flickr-GCN_rmia,TPR_0_flickr-GCN_rmia,FPR_1_flickr-GCN_rmia,TPR_1_flickr-GCN_rmia,FPR_2_flickr-GCN_rmia,TPR_2_flickr-GCN_rmia,FPR_3_flickr-GCN_rmia,TPR_3_flickr-GCN_rmia,FPR_4_flickr-GCN_rmia,TPR_4_flickr-GCN_rmia,FPR_0_flickr-GCN_mlp-attack,TPR_0_flickr-GCN_mlp-attack,FPR_1_flickr-GCN_mlp-attack,TPR_1_flickr-GCN_mlp-attack,FPR_2_flickr-GCN_mlp-attack,TPR_2_flickr-GCN_mlp-attack,FPR_3_flickr-GCN_mlp-attack,TPR_3_flickr-GCN_mlp-attack,FPR_4_flickr-GCN_mlp-attack,TPR_4_flickr-GCN_mlp-attack,FPR_0_flickr-GCN_strong-lset,TPR_0_flickr-GCN_strong-lset,FPR_1_flickr-GCN_strong-lset,TPR_1_flickr-GCN_strong-lset,FPR_2_flickr-GCN_strong-lset,TPR_2_flickr-GCN_strong-lset,FPR_3_flickr-GCN_strong-lset,TPR_3_flickr-GCN_strong-lset,FPR_4_flickr-GCN_strong-lset,TPR_4_flickr-GCN_strong-lset,FPR_0_flickr-GCN_strong-graph-lset-in,TPR_0_flickr-GCN_strong-graph-lset-in,FPR_1_flickr-GCN_strong-graph-lset-in,TPR_1_flickr-GCN_strong-graph-lset-in,FPR_2_flickr-GCN_strong-graph-lset-in,TPR_2_flickr-GCN_strong-graph-lset-in,FPR_3_flickr-GCN_strong-graph-lset-in,TPR_3_flickr-GCN_strong-graph-lset-in,FPR_4_flickr-GCN_strong-graph-lset-in,TPR_4_flickr-GCN_strong-graph-lset-in
41,0.32,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.33,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.33,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.34,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.34,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.35,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0.35,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0.37,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0.37,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0.38,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0.38,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0.42,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0.42,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0.46,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0.46,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0.52,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,0.52,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0.56,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,0.56,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0.58,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,0.58,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,0.6,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,0.6,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,0.65,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,0.65,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,0.67,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,0.67,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0.71,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,0.71,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,0.72,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,0.72,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,0.74,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,0.74,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,0.76,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,0.76,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,0.78,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,0.78,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,0.87,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,0.87,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,0.9,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
